file,size_bytes,size_mb,sha256,storage
Data/WorldClim/wc2.1_2.5m_prec_02.tif,5653253,5.65,ed311ac32a01eb947f71a46c93df5249ead6d728d892f325f8ee92062d8aa2f2,git
Data/WorldClim/wc2.1_2.5m_prec_03.tif,6199874,6.2,7731d1c1098875b604e2d59b2d8f937bc7557a503e71cda921150bcb4a1488ff,git
Data/WorldClim/wc2.1_2.5m_prec_04.tif,6169475,6.17,9d1d846eaa1298d9402ebdf2705bb05d6e0e08321b1bf302866e7dfd6a53965a,git
Data/WorldClim/wc2.1_2.5m_prec_05.tif,6160611,6.16,7196488ce84f3e6ce623f03a819377f5398e180491b09d0a7cc8c13cef3cac4b,git
Data/WorldClim/wc2.1_2.5m_prec_06.tif,6208893,6.21,0382fdea03ba82d1c3b9d058cae2c214d99bd1465dba9859060461b4d48dedcd,git
Data/WorldClim/wc2.1_2.5m_prec_07.tif,6341313,6.34,6ebe4ed0deee6059f2c83df7931e8ed2a98487d91631d104b9c4dbf7f4e4a64c,git
Data/WorldClim/wc2.1_2.5m_prec_08.tif,6658737,6.66,470d7ac4ce2174c1f08b23600b826f51449dbb528aef02b4931dfc0a71716b0d,git
Data/WorldClim/wc2.1_2.5m_prec_09.tif,6216995,6.22,173a177dc304a214013713d63929a2250de57fd4d8f0d54785e4d843c0604811,git
Data/WorldClim/wc2.1_2.5m_prec_10.tif,6507116,6.51,c45d709dcc4e2ed600a293f02d8b69902a3311c77c3add8bea5df15c7db969ae,git
Data/WorldClim/wc2.1_2.5m_prec_11.tif,5804089,5.8,b39fd64449d6d8df1100ff2c5e0617560bab3cda3b6313672d8802cba7fc36c7,git
Data/WorldClim/wc2.1_2.5m_prec_12.tif,5625550,5.63,e18600cfcc7d30f5e6722de598c5665ae5b9176ca205a5ae7566ab7fe15bfaa5,git
Data/WorldClim/wc2.1_2.5m_tavg_01.tif,38515392,38.52,930caa50c201a8643cb4cc4fdb6cee06cfc286b85cb69ae7f66e7329c75e3f5f,release:data-v1
Data/WorldClim/wc2.1_2.5m_tavg_02.tif,38730032,38.73,cdda57a3ea49e3d0e2c2c085baf186f6b82ee461144e518aec9e8cd892c965a8,release:data-v1
Data/WorldClim/wc2.1_2.5m_tavg_03.tif,38984608,38.98,91fd2bbcabc40b42e081a1403bd80e26c16dd80e294580a8b9546440324f7c56,release:data-v1
Data/WorldClim/wc2.1_2.5m_tavg_04.tif,38915156,38.92,4a3c06d5a90652508b8f921ed6472aefc9c910144e683b538f61242b125641d4,release:data-v1
Data/WorldClim/wc2.1_2.5m_tavg_05.tif,38977348,38.98,b422c65353c8a38e1fbfcfdbb66c058fa8c36011d45d034ab66837c3d7e5af54,release:data-v1
Data/WorldClim/wc2.1_2.5m_tavg_06.tif,38781249,38.78,34ec67d90c2a51be3ab0456599bd223f5c63da43c0c99be18b48c7acc8806764,release:data-v1
Data/WorldClim/wc2.1_2.5m_tavg_07.tif,38469065,38.47,499bc95b8b9b061bad47734b4d894a57e6f4b1221230683f1d823ef10d768f2b,release:data-v1
Data/WorldClim/wc2.1_2.5m_tavg_08.tif,38146060,38.15,5a0157c8af88014780ade697508b58fef2f0b66c76967b75aa4ef6fb8ea7ab37,release:data-v1
Data/WorldClim/wc2.1_2.5m_tavg_09.tif,38381155,38.38,35608b1497288b705aed20c9f8d8d32bc6f47a1e6daad6f087786027339bcc55,release:data-v1
Data/WorldClim/wc2.1_2.5m_tavg_10.tif,38555624,38.56,815ffbdbfa05542a16e9f7e8198674bbafac05a088dfb64e2b2abf0bc213550d,release:data-v1
Data/WorldClim/wc2.1_2.5m_tavg_11.tif,38503573,38.5,6fa4c9620ab93728cccf6d1c3df243cf62d56a1330a4e61127b84d40634b6d07,release:data-v1
Data/WorldClim/wc2.1_2.5m_tavg_12.tif,38359327,38.36,98b7a2fb703100851f8af7e59b0dd5e69598d9fcf8d091c7b446c01e2c96eb03,release:data-v1
