feature_set,n_feat,pooled_mean,pooled_std,pooled_by_seed
base24_71,71,0.4002,0.0146,"[0.4178, 0.3821, 0.4007]"
+pheno2,73,0.4057,0.0073,"[0.4038, 0.3978, 0.4154]"
