lon,lat,extreme_Tmax_proxy,extreme_Tmin_proxy,extreme_Prec_proxy,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,prec_01,prec_02,prec_03,prec_04,prec_05,prec_06,prec_07,prec_08,prec_09,prec_10,prec_11,prec_12,tavg_01,tavg_02,tavg_03,tavg_04,tavg_05,tavg_06,tavg_07,tavg_08,tavg_09,tavg_10,tavg_11,tavg_12,GDD_01,GDD_02,GDD_03,GDD_04,GDD_05,GDD_06,GDD_07,GDD_08,GDD_09,GDD_10,GDD_11,GDD_12,GDD_gs,GDD_annual,elevation_m,slope_deg,aspect_deg,clay_pct,sand_pct,silt_pct,soc_dgkg,bdod_kgdm3,cec_cmolkg,ph,nitrogen_cgkg,wheat_yield_tha,wheat_yield_pred_tha,yield_uncertainty_tha,yield_source,yield_blended_tha,yield_source_blend,grid_id,zenodo_yield_tha,n_px
117.2292,40.4792,27.876,-14.136,176.0,8.7615,11.937,28.4133,1138.6194,27.876,-14.136,42.012,22.0033,-6.0647,22.0033,-6.0647,527.0,176.0,3.0,128.9445,388.0,9.0,388.0,9.0,3.0,3.0,7.0,16.0,35.0,72.0,176.0,140.0,49.0,17.0,6.0,3.0,-7.92,-4.68,2.028,10.656,16.696,20.988,23.144,21.864,16.648,10.096,1.212,-5.6,0.0,0.0,0.0,19.68,207.576,329.64,407.464,367.784,199.44,2.975999999999999,0.0,0.0,1531.584,1534.56,547.9673,18.3855,2.1661,16.9,48.9,34.2,498.0,1.22,18.8,6.9,49.8,,6.991475088140767,0.1152331919396063,SpatialPred,6.324259783440932,BayesianBlend,10,,0
117.2708,40.4792,27.492,-14.416,176.0,8.4195,11.915,28.4313,1135.7495,27.492,-14.416,41.908,21.6473,-6.3607,21.6473,-6.3607,530.0,176.0,3.0,129.0013,391.0,9.0,391.0,9.0,3.0,3.0,7.0,16.0,35.0,73.0,176.0,142.0,49.0,17.0,6.0,3.0,-8.18,-5.02,1.628,10.268,16.28,20.596,22.792,21.54,16.296,9.8,0.924,-5.868,0.0,0.0,0.0,8.04,194.68,317.88,396.552,357.74,188.88,0.0,0.0,0.0,1463.772,1463.772,586.7532,19.2601,292.764,17.0,50.3,32.7,486.0,1.22,18.7,7.0,48.6,,6.984859235764264,0.1152331919396063,SpatialPred,6.321138846731753,BayesianBlend,11,,0
117.3125,40.4792,27.152,-14.748,177.0,8.0727,11.9913,28.6189,1133.5852,27.152,-14.748,41.9,21.292,-6.6653,21.292,-6.6653,539.0,177.0,2.0,127.5504,395.0,9.0,395.0,9.0,3.0,4.0,8.0,17.0,36.0,75.0,177.0,143.0,50.0,18.0,6.0,2.0,-8.452,-5.352,1.2359999999999998,9.86,15.872,20.232,22.428,21.216,15.92,9.456,0.6120000000000001,-6.176,0.0,0.0,0.0,0.0,182.032,306.96,385.268,347.696,177.6,0.0,0.0,0.0,1399.556,1399.556,656.5859,20.2454,197.5704,16.8,50.2,33.0,469.0,1.22,18.4,7.0,46.9,,6.957550479199842,0.1152331919396063,SpatialPred,6.435296083117192,BayesianBlend,12,,0
117.3542,40.4792,26.832,-15.084,176.0,7.7432,12.039,28.7217,1131.8383,26.832,-15.084,41.916,20.956,-6.9627,20.956,-6.9627,543.0,176.0,2.0,126.7173,397.0,9.0,397.0,9.0,3.0,4.0,8.0,17.0,37.0,77.0,176.0,144.0,51.0,18.0,6.0,2.0,-8.748,-5.672,0.8919999999999999,9.516,15.504,19.884,22.104,20.868,15.596,9.132,0.3119999999999998,-6.48,0.0,0.0,0.0,0.0,170.624,296.52,375.224,336.908,167.88,0.0,0.0,0.0,1347.156,1347.156,725.1072,18.6727,182.8898,16.8,48.3,34.9,552.0,1.19,18.4,6.9,55.2,,6.94961820420178,0.1152331919396063,SpatialPred,6.050299647998637,BayesianBlend,13,,0
117.3958,40.4792,26.38,-15.476,178.0,7.3147,12.0027,28.6761,1130.4495,26.38,-15.476,41.856,20.5207,-7.3613,20.5207,-7.3613,550.0,178.0,2.0,126.3378,401.0,9.0,401.0,9.0,3.0,4.0,8.0,18.0,38.0,78.0,178.0,145.0,52.0,18.0,6.0,2.0,-9.12,-6.096,0.4279999999999999,9.028,15.056,19.452,21.676,20.448,15.172,8.712,-0.104,-6.864,0.0,0.0,0.0,0.0,156.736,283.56,361.956,323.888,155.16,0.0,0.0,0.0,1281.3,1281.3,814.3152,17.9278,222.2276,16.9,45.3,37.8,645.0,1.16,18.9,6.8,64.5,,6.948230936030605,0.1152331919396063,SpatialPred,6.083094627963223,BayesianBlend,14,,0
117.4375,40.4792,26.092,-15.816,177.0,7.0208,12.0877,28.8433,1128.6892,26.092,-15.816,41.908,20.2187,-7.6213,20.2187,-7.6213,557.0,177.0,2.0,124.5878,403.0,9.0,403.0,9.0,3.0,4.0,9.0,19.0,39.0,80.0,177.0,146.0,53.0,19.0,6.0,2.0,-9.4,-6.32,0.1400000000000001,8.712,14.764,19.172,21.368,20.124,14.852,8.388,-0.3800000000000003,-7.152000000000001,0.0,0.0,0.0,0.0,147.684,275.16,352.408,313.844,145.56,0.0,0.0,0.0,1234.656,1234.656,898.1281000000001,18.0813,147.7653,17.0,44.6,38.4,577.0,1.17,19.4,6.8,57.7,,6.927025182301579,0.1152331919396063,SpatialPred,6.2803336516831,BayesianBlend,15,,0
117.4792,40.4792,26.884,-15.568,177.0,7.713699999999999,12.3993,29.2079,1138.2036,26.884,-15.568,42.452,20.9767,-7.0953,20.9767,-7.0953,549.0,177.0,3.0,125.8819,399.0,10.0,399.0,10.0,3.0,4.0,8.0,18.0,38.0,77.0,177.0,145.0,52.0,18.0,6.0,3.0,-8.98,-5.624,0.964,9.556,15.632,19.968,22.116,20.856,15.552,9.008,0.2040000000000001,-6.668,0.0,0.0,0.0,0.0,174.592,299.04,375.596,336.536,166.56,0.0,0.0,0.0,1352.324,1352.324,748.6289999999999,15.8023,115.5467,17.1,44.9,38.0,472.0,1.21,19.5,6.9,47.2,,6.973237401268988,0.1152331919396063,SpatialPred,6.21947093423701,BayesianBlend,16,,0
117.5208,40.4792,27.156,-15.576,176.0,7.9367,12.5167,29.2911,1145.3605,27.156,-15.576,42.732,21.256,-6.9853,21.256,-6.9853,545.0,176.0,3.0,126.1263,396.0,10.0,396.0,10.0,3.0,4.0,8.0,18.0,38.0,75.0,176.0,145.0,51.0,18.0,6.0,3.0,-8.932,-5.416,1.2560000000000002,9.876,15.968,20.252,22.372,21.124,15.812,9.184,0.3399999999999998,-6.58,0.0,0.0,0.0,0.0,185.008,307.56,383.532,344.844,174.36,0.0,0.0,0.0,1395.3041,1395.3041,682.4216,9.7808,257.0381,16.9,46.6,36.4,408.0,1.22,19.1,6.9,40.8,,6.96956011358541,0.1152331919396063,SpatialPred,6.453021494549824,BayesianBlend,17,,0
116.8125,40.4375,30.316,-12.056,176.0,11.1823,12.4167,29.3039,1144.4763,30.316,-12.056,42.372,24.4373,-3.728,24.4373,-3.728,504.0,176.0,3.0,132.6527,378.0,9.0,378.0,9.0,3.0,3.0,6.0,13.0,31.0,69.0,176.0,133.0,45.0,17.0,5.0,3.0,-5.728,-2.156,4.644,13.372,19.356,23.664,25.5,24.148,19.064,12.232,3.392,-3.312,0.0,0.0,0.0,101.16,290.036,409.92,480.5,438.588,271.92,69.192,0.0,0.0,1992.124,2061.316,97.44889999999998,3.7482000000000006,234.0435,18.0,47.6,34.5,286.0,1.29,16.9,7.7,28.6,,7.103570312718066,0.1152331919396063,SpatialPred,6.291449920801741,BayesianBlend,18,,0
116.8542,40.4375,30.092,-12.08,176.0,10.9868,12.2317,29.0042,1141.8793,30.092,-12.08,42.172,24.224,-3.886,24.224,-3.886,506.0,176.0,3.0,132.4902,379.0,9.0,379.0,9.0,3.0,3.0,6.0,13.0,31.0,69.0,176.0,134.0,46.0,17.0,5.0,3.0,-5.86,-2.38,4.392,13.124,19.104,23.416,25.296,23.968,18.852,12.092,3.276,-3.416,0.0,0.0,0.0,93.72,282.224,402.48,474.176,433.008,265.56,64.852,0.0,0.0,1951.168,2016.02,130.7293,5.3975,272.3231,17.9,47.5,34.6,313.0,1.28,16.4,7.7,31.3,,7.09216260473343,0.1152331919396063,SpatialPred,6.1974545296206776,BayesianBlend,19,,0
116.8958,40.4375,29.776,-12.412,176.0,10.7345,12.177,28.8637,1141.0283,29.776,-12.412,42.188,23.9527,-4.1507,23.9527,-4.1507,506.0,176.0,3.0,132.4902,379.0,9.0,379.0,9.0,3.0,3.0,6.0,13.0,31.0,69.0,176.0,134.0,46.0,17.0,5.0,3.0,-6.148,-2.668,4.124,12.856,18.8,23.104,25.036,23.74,18.612,11.896,3.104,-3.644,0.0,0.0,0.0,85.68,272.8,393.12,466.116,425.94,258.36,58.776,0.0,0.0,1902.0159,1960.7919,174.1833,7.8252,248.5062,17.6,47.6,34.8,288.0,1.29,16.6,7.5,28.8,,7.086305420627067,0.1152331919396063,SpatialPred,6.704808934723548,BayesianBlend,20,,0
116.9375,40.4375,29.792,-12.456,176.0,10.7853,12.0107,28.429,1142.8422,29.792,-12.456,42.248,24.02,-4.1407,24.02,-4.1407,502.0,176.0,3.0,133.4656,377.0,9.0,377.0,9.0,3.0,3.0,6.0,13.0,30.0,67.0,176.0,134.0,46.0,16.0,5.0,3.0,-6.22,-2.728,4.076,12.828,18.796,23.12,25.108,23.84,18.736,12.036,3.324,-3.456,0.0,0.0,0.0,84.84,272.676,393.6,468.348,429.04,262.08,63.116,0.0,0.0,1910.584,1973.7,150.7538,5.202,114.2138,17.2,47.8,35.0,231.0,1.3,17.1,7.2,23.1,,7.086246235674254,0.1152331919396063,SpatialPred,6.405192447738918,BayesianBlend,21,,0
116.9792,40.4375,29.776,-12.448,176.0,10.7653,11.942,28.2825,1144.2542,29.776,-12.448,42.224,24.0167,-4.1853,24.0167,-4.1853,503.0,176.0,3.0,133.1124,377.0,9.0,377.0,9.0,3.0,3.0,6.0,13.0,30.0,67.0,176.0,134.0,46.0,17.0,5.0,3.0,-6.248,-2.76,4.052,12.824,18.74,23.08,25.104,23.868,18.74,12.056,3.284,-3.524,0.0,0.0,0.0,84.72,270.94,392.4,468.224,429.908,262.2,63.736,0.0,0.0,1908.392,1972.128,136.8522,5.0945,24.590100000000007,17.9,50.6,31.5,297.0,1.27,15.9,7.4,29.7,,7.058382989475397,0.1152331919396063,SpatialPred,6.44572439625889,BayesianBlend,22,,0
117.0208,40.4375,29.272,-12.692,177.0,10.2828,11.9817,28.5522,1136.8877,29.272,-12.692,41.964,23.4667,-4.548,23.4667,-4.548,512.0,177.0,3.0,132.3438,383.0,9.0,383.0,9.0,3.0,3.0,7.0,14.0,31.0,69.0,177.0,137.0,47.0,16.0,5.0,3.0,-6.5,-3.108,3.636,12.276,18.224,22.528,24.548,23.308,18.196,11.528,2.748,-4.032,0.0,0.0,0.0,68.28,254.944,375.84,450.988,412.548,245.88,47.368,0.0,0.0,1808.48,1855.848,258.2063,10.4464,271.4023,18.2,49.3,32.5,337.0,1.26,16.5,7.3,33.7,,7.063633385490278,0.1152331919396063,SpatialPred,6.183558007822772,BayesianBlend,23,,0
