cell_r,cell_c,lon,lat,yield_2021_tha,n_px,elevation_m,bdod,cec,clay,nitrogen,phh2o,sand,silt,soc,bio_1,bio_4,bio_5,bio_12,bio_15,bio_10
0,17,116.959375,40.021125000000005,5.537,50,28.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
0,18,116.961625,40.021125000000005,5.588,35,26.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
0,21,116.968375,40.021125000000005,5.625,24,28.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
0,22,116.970625,40.021125000000005,5.854,34,27.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
0,23,116.972875,40.021125000000005,5.793,39,25.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
0,24,116.975125,40.021125000000005,5.706,43,26.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
0,25,116.977375,40.021125000000005,5.776,70,28.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
0,32,116.993125,40.021125000000005,5.484,18,26.0,134.0,,,,,,,133.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
0,33,116.995375,40.021125000000005,5.535,32,25.0,134.0,,,,,,,133.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
0,34,116.997625,40.021125000000005,5.379,25,22.0,134.0,,,,,,,133.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
0,41,117.013375,40.021125000000005,6.017,16,26.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
0,42,117.015625,40.021125000000005,6.023,43,24.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
0,43,117.017875,40.021125000000005,6.019,31,21.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
0,45,117.022375,40.021125000000005,6.017,20,22.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
0,52,117.038125,40.021125000000005,6.017,23,24.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
0,53,117.040375,40.021125000000005,6.017,33,23.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
0,54,117.042625,40.021125000000005,6.017,48,26.0,134.0,,,,,,,133.0,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
0,55,117.044875,40.021125000000005,6.017,41,24.0,134.0,,,,,,,133.0,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
0,56,117.047125,40.021125000000005,6.019,29,25.0,,189.0,216.0,,79.0,404.0,380.0,,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
0,57,117.049375,40.021125000000005,6.015,23,26.0,,189.0,216.0,,79.0,404.0,380.0,,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
0,58,117.051625,40.021125000000005,5.989,29,26.0,,189.0,216.0,,79.0,404.0,380.0,,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
0,60,117.056125,40.021125000000005,5.987,27,21.0,,189.0,216.0,,79.0,404.0,380.0,,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
1,10,116.943625,40.023375,5.727,27,31.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
1,11,116.945875,40.023375,5.719,44,31.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
1,12,116.948125,40.023375,5.716,36,29.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
1,13,116.950375,40.023375,5.772,57,27.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
1,14,116.952625,40.023375,5.692,31,30.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
1,16,116.957125,40.023375,5.467,28,28.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
1,21,116.968375,40.023375,5.901,31,29.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
1,22,116.970625,40.023375,6.034,41,27.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
1,23,116.972875,40.023375,5.897,45,27.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
1,24,116.975125,40.023375,5.757,39,29.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
1,25,116.977375,40.023375,5.561,47,27.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
1,42,117.015625,40.023375,6.024,44,21.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
1,52,117.038125,40.023375,6.017,32,24.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
1,53,117.040375,40.023375,6.017,48,26.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
1,54,117.042625,40.023375,6.018,64,25.0,134.0,,,,,,,133.0,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
1,55,117.044875,40.023375,6.017,54,26.0,134.0,,,,,,,133.0,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
1,56,117.047125,40.023375,6.017,48,24.0,134.0,,,,,,,133.0,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
1,57,117.049375,40.023375,6.015,63,25.0,134.0,,,,,,,133.0,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
1,58,117.051625,40.023375,5.989,16,22.0,,189.0,216.0,,79.0,404.0,380.0,,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
2,5,116.932375,40.025625000000005,5.652,32,28.0,,177.0,257.0,,79.0,361.0,382.0,,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
2,10,116.943625,40.025625000000005,5.803,53,28.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
2,11,116.945875,40.025625000000005,5.767,84,28.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
2,12,116.948125,40.025625000000005,5.654,74,30.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
2,13,116.950375,40.025625000000005,5.682,78,31.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
2,14,116.952625,40.025625000000005,5.494,36,31.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
