lon,lat,extreme_Tmax_proxy,extreme_Tmin_proxy,extreme_Prec_proxy,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,prec_01,prec_02,prec_03,prec_04,prec_05,prec_06,prec_07,prec_08,prec_09,prec_10,prec_11,prec_12,tavg_01,tavg_02,tavg_03,tavg_04,tavg_05,tavg_06,tavg_07,tavg_08,tavg_09,tavg_10,tavg_11,tavg_12,GDD_01,GDD_02,GDD_03,GDD_04,GDD_05,GDD_06,GDD_07,GDD_08,GDD_09,GDD_10,GDD_11,GDD_12,GDD_gs,GDD_annual,elevation_m,slope_deg,aspect_deg,clay_pct,sand_pct,silt_pct,soc_dgkg,bdod_kgdm3,cec_cmolkg,ph,nitrogen_cgkg
117.2292,40.4792,27.8760,-14.1360,176.0000,8.7615,11.9370,28.4133,1138.6194,27.8760,-14.1360,42.0120,22.0033,-6.0647,22.0033,-6.0647,527.0000,176.0000,3.0000,128.9445,388.0000,9.0000,388.0000,9.0000,3.0000,3.0000,7.0000,16.0000,35.0000,72.0000,176.0000,140.0000,49.0000,17.0000,6.0000,3.0000,-7.9200,-4.6800,2.0280,10.6560,16.6960,20.9880,23.1440,21.8640,16.6480,10.0960,1.2120,-5.6000,0.0000,0.0000,0.0000,19.6800,207.5760,329.6400,407.4640,367.7840,199.4400,2.9760,0.0000,0.0000,1531.5840,1534.5600,547.9673,18.3855,2.1661,16.9000,48.9000,34.2000,498.0000,1.2200,18.8000,6.9000,49.8000
117.2708,40.4792,27.4920,-14.4160,176.0000,8.4195,11.9150,28.4313,1135.7495,27.4920,-14.4160,41.9080,21.6473,-6.3607,21.6473,-6.3607,530.0000,176.0000,3.0000,129.0013,391.0000,9.0000,391.0000,9.0000,3.0000,3.0000,7.0000,16.0000,35.0000,73.0000,176.0000,142.0000,49.0000,17.0000,6.0000,3.0000,-8.1800,-5.0200,1.6280,10.2680,16.2800,20.5960,22.7920,21.5400,16.2960,9.8000,0.9240,-5.8680,0.0000,0.0000,0.0000,8.0400,194.6800,317.8800,396.5520,357.7400,188.8800,0.0000,0.0000,0.0000,1463.7720,1463.7720,586.7532,19.2601,292.7640,17.0000,50.3000,32.7000,486.0000,1.2200,18.7000,7.0000,48.6000
117.3125,40.4792,27.1520,-14.7480,177.0000,8.0727,11.9913,28.6189,1133.5852,27.1520,-14.7480,41.9000,21.2920,-6.6653,21.2920,-6.6653,539.0000,177.0000,2.0000,127.5504,395.0000,9.0000,395.0000,9.0000,3.0000,4.0000,8.0000,17.0000,36.0000,75.0000,177.0000,143.0000,50.0000,18.0000,6.0000,2.0000,-8.4520,-5.3520,1.2360,9.8600,15.8720,20.2320,22.4280,21.2160,15.9200,9.4560,0.6120,-6.1760,0.0000,0.0000,0.0000,0.0000,182.0320,306.9600,385.2680,347.6960,177.6000,0.0000,0.0000,0.0000,1399.5560,1399.5560,656.5859,20.2454,197.5704,16.8000,50.2000,33.0000,469.0000,1.2200,18.4000,7.0000,46.9000
117.3542,40.4792,26.8320,-15.0840,176.0000,7.7432,12.0390,28.7217,1131.8383,26.8320,-15.0840,41.9160,20.9560,-6.9627,20.9560,-6.9627,543.0000,176.0000,2.0000,126.7173,397.0000,9.0000,397.0000,9.0000,3.0000,4.0000,8.0000,17.0000,37.0000,77.0000,176.0000,144.0000,51.0000,18.0000,6.0000,2.0000,-8.7480,-5.6720,0.8920,9.5160,15.5040,19.8840,22.1040,20.8680,15.5960,9.1320,0.3120,-6.4800,0.0000,0.0000,0.0000,0.0000,170.6240,296.5200,375.2240,336.9080,167.8800,0.0000,0.0000,0.0000,1347.1560,1347.1560,725.1072,18.6727,182.8898,16.8000,48.3000,34.9000,552.0000,1.1900,18.4000,6.9000,55.2000
117.3958,40.4792,26.3800,-15.4760,178.0000,7.3147,12.0027,28.6761,1130.4495,26.3800,-15.4760,41.8560,20.5207,-7.3613,20.5207,-7.3613,550.0000,178.0000,2.0000,126.3378,401.0000,9.0000,401.0000,9.0000,3.0000,4.0000,8.0000,18.0000,38.0000,78.0000,178.0000,145.0000,52.0000,18.0000,6.0000,2.0000,-9.1200,-6.0960,0.4280,9.0280,15.0560,19.4520,21.6760,20.4480,15.1720,8.7120,-0.1040,-6.8640,0.0000,0.0000,0.0000,0.0000,156.7360,283.5600,361.9560,323.8880,155.1600,0.0000,0.0000,0.0000,1281.3000,1281.3000,814.3152,17.9278,222.2276,16.9000,45.3000,37.8000,645.0000,1.1600,18.9000,6.8000,64.5000
117.4375,40.4792,26.0920,-15.8160,177.0000,7.0208,12.0877,28.8433,1128.6892,26.0920,-15.8160,41.9080,20.2187,-7.6213,20.2187,-7.6213,557.0000,177.0000,2.0000,124.5878,403.0000,9.0000,403.0000,9.0000,3.0000,4.0000,9.0000,19.0000,39.0000,80.0000,177.0000,146.0000,53.0000,19.0000,6.0000,2.0000,-9.4000,-6.3200,0.1400,8.7120,14.7640,19.1720,21.3680,20.1240,14.8520,8.3880,-0.3800,-7.1520,0.0000,0.0000,0.0000,0.0000,147.6840,275.1600,352.4080,313.8440,145.5600,0.0000,0.0000,0.0000,1234.6560,1234.6560,898.1281,18.0813,147.7653,17.0000,44.6000,38.4000,577.0000,1.1700,19.4000,6.8000,57.7000
117.4792,40.4792,26.8840,-15.5680,177.0000,7.7137,12.3993,29.2079,1138.2036,26.8840,-15.5680,42.4520,20.9767,-7.0953,20.9767,-7.0953,549.0000,177.0000,3.0000,125.8819,399.0000,10.0000,399.0000,10.0000,3.0000,4.0000,8.0000,18.0000,38.0000,77.0000,177.0000,145.0000,52.0000,18.0000,6.0000,3.0000,-8.9800,-5.6240,0.9640,9.5560,15.6320,19.9680,22.1160,20.8560,15.5520,9.0080,0.2040,-6.6680,0.0000,0.0000,0.0000,0.0000,174.5920,299.0400,375.5960,336.5360,166.5600,0.0000,0.0000,0.0000,1352.3240,1352.3240,748.6290,15.8023,115.5467,17.1000,44.9000,38.0000,472.0000,1.2100,19.5000,6.9000,47.2000
117.5208,40.4792,27.1560,-15.5760,176.0000,7.9367,12.5167,29.2911,1145.3605,27.1560,-15.5760,42.7320,21.2560,-6.9853,21.2560,-6.9853,545.0000,176.0000,3.0000,126.1263,396.0000,10.0000,396.0000,10.0000,3.0000,4.0000,8.0000,18.0000,38.0000,75.0000,176.0000,145.0000,51.0000,18.0000,6.0000,3.0000,-8.9320,-5.4160,1.2560,9.8760,15.9680,20.2520,22.3720,21.1240,15.8120,9.1840,0.3400,-6.5800,0.0000,0.0000,0.0000,0.0000,185.0080,307.5600,383.5320,344.8440,174.3600,0.0000,0.0000,0.0000,1395.3041,1395.3041,682.4216,9.7808,257.0381,16.9000,46.6000,36.4000,408.0000,1.2200,19.1000,6.9000,40.8000
116.8125,40.4375,30.3160,-12.0560,176.0000,11.1823,12.4167,29.3039,1144.4763,30.3160,-12.0560,42.3720,24.4373,-3.7280,24.4373,-3.7280,504.0000,176.0000,3.0000,132.6527,378.0000,9.0000,378.0000,9.0000,3.0000,3.0000,6.0000,13.0000,31.0000,69.0000,176.0000,133.0000,45.0000,17.0000,5.0000,3.0000,-5.7280,-2.1560,4.6440,13.3720,19.3560,23.6640,25.5000,24.1480,19.0640,12.2320,3.3920,-3.3120,0.0000,0.0000,0.0000,101.1600,290.0360,409.9200,480.5000,438.5880,271.9200,69.1920,0.0000,0.0000,1992.1240,2061.3160,97.4489,3.7482,234.0435,18.0000,47.6000,34.5000,286.0000,1.2900,16.9000,7.7000,28.6000
116.8542,40.4375,30.0920,-12.0800,176.0000,10.9868,12.2317,29.0042,1141.8793,30.0920,-12.0800,42.1720,24.2240,-3.8860,24.2240,-3.8860,506.0000,176.0000,3.0000,132.4902,379.0000,9.0000,379.0000,9.0000,3.0000,3.0000,6.0000,13.0000,31.0000,69.0000,176.0000,134.0000,46.0000,17.0000,5.0000,3.0000,-5.8600,-2.3800,4.3920,13.1240,19.1040,23.4160,25.2960,23.9680,18.8520,12.0920,3.2760,-3.4160,0.0000,0.0000,0.0000,93.7200,282.2240,402.4800,474.1760,433.0080,265.5600,64.8520,0.0000,0.0000,1951.1680,2016.0200,130.7293,5.3975,272.3231,17.9000,47.5000,34.6000,313.0000,1.2800,16.4000,7.7000,31.3000
